city_id,city,country
16056,Phuket,Thailand
17193,Bali,Indonesia
8584,Pattaya,Thailand
16223,Kanchanaburi,Thailand
17026,Koh Lanta,Thailand
17222,Ko Samet,Thailand
7401,Chiang Mai,Thailand
19436,Bintan Island,Indonesia
9395,Bangkok,Thailand
8691,Jakarta,Indonesia
15936,Phitsanulok,Thailand
4816,Phnom Penh,Cambodia
14865,Krabi,Thailand
9312,Hat Yai,Thailand
16552,Hoi An,Vietnam
17019,Hua Hin / Cha-am,Thailand
13170,Ho Chi Minh City,Vietnam
16919,Luang Prabang,Laos
12384,Lampang,Thailand
17704,Ayutthaya,Thailand
17023,Koh Chang,Thailand
16917,Siem Reap,Cambodia
14018,Yogyakarta,Indonesia
205026,Khao Kho,Thailand
10779,Surabaya,Indonesia
17198,Koh Samui,Thailand
9360,Davao City,Philippines
19704,Tak,Thailand
17191,Khao Lak,Thailand
16842,Lombok,Indonesia
102488,Tangerang,Indonesia
12546,Sukhothai,Thailand
15903,Boracay Island,Philippines
1622,Manila,Philippines
18943,Bandung,Indonesia
15932,Dalat,Vietnam
16185,Palawan,Philippines
10871,Vientiane,Laos
21284,Medan,Indonesia
19392,Batam Island,Indonesia
4001,Cebu,Philippines
217,Rayong,Thailand
16079,Cần Thơ,Vietnam
17162,Chau Doc (An Giang),Vietnam
16440,Da Nang,Vietnam
17161,Haiphong,Vietnam
2758,Hanoi,Vietnam
3738,Hue,Vietnam
2679,Nha Trang,Vietnam
16264,Phan Thiet,Vietnam
17188,Phu Quoc Island,Vietnam
17160,Sapa,Vietnam
17190,Vung Tau,Vietnam
204512,Chiang Saen (Chiang Rai),Thailand
4234,Chiang Rai,Thailand
15395,Mae Hong Son,Thailand
7233,Khon Kaen,Thailand
15878,Ko Phi Phi,Thailand
17196,Baguio,Philippines
10562,Bacolod (Negros Occidental),Philippines
78905,Pai,Thailand
17793,Phetchaburi,Thailand
17036,Loei,Thailand
4682,Trang,Thailand
17389,Ko Tao,Thailand
17402,Ko Pha-ngan,Thailand
10787,Udon Thani,Thailand
7835,Colombo,Sri Lanka
10136,Negombo,Sri Lanka
11158,Kandy,Sri Lanka
14130,Bentota,Sri Lanka
12829,Wadduwa,Sri Lanka
17331,Sihanoukville,Cambodia
17242,Quy Nhon (Binh Dinh),Vietnam
17245,Ninh Bình,Vietnam
17182,Hạ Long,Vietnam
5414,Malang,Indonesia
19359,Semarang,Indonesia
18878,Magelang,Indonesia
21740,Bogor,Indonesia
2570,Surat Thani,Thailand
702243,Nakhonratchasima,Thailand
6771,Ubon Ratchathani,Thailand
105626,Nong Khai,Thailand
17794,Prachinburi,Thailand
17790,Nakhon Si Thammarat,Thailand
102461,Phang Nga,Thailand
19438,Manado,Indonesia
23732,Makassar,Indonesia
16115,Nan,Thailand
17762,Lopburi,Thailand
11743,Phrae,Thailand
17766,Uttaradit,Thailand
15308,Nakhon Sawan,Thailand
720988,Ilocos Norte,Philippines
17005,Khao Yai,Thailand
18732,Prachuap Khiri Khan,Thailand
18230,Sigiriya,Sri Lanka
18215,Batangas,Philippines
16429,Bohol,Philippines
178410,Pasay City,Philippines
18218,Tagaytay,Philippines
21506,Samarinda,Indonesia
204544,Chom Thong,Thailand
21675,Koh Mak (Trad),Thailand
10008,Nuwara Eliya,Sri Lanka
80019,Bandarawela,Sri Lanka
2961,Surakarta,Indonesia
18044,Hoa Binh,Vietnam
256217,Xieng Khouang,Laos
18909,Battambang,Cambodia
18910,Kep,Cambodia
720012,General Trias,Philippines
19543,Tarlac,Philippines
17787,Chonburi,Thailand
18874,Puerto Galera,Philippines
19391,Pekanbaru,Indonesia
390172,Yala,Sri Lanka
21557,Phan Rang – Tháp Chàm (Ninh Thuận),Vietnam
19657,Dien Bien Phu,Vietnam
17799,Uthai Thani,Thailand
88776,Balikpapan,Indonesia
716194,Bromo,Indonesia
78901,Palembang,Indonesia
390238,Parapat,Indonesia
102505,Trawas,Indonesia
105624,Blitar,Indonesia
214880,Pelabuhan Ratu,Indonesia
19623,Cirebon,Indonesia
19625,Bandar Lampung,Indonesia
719280,Mengkendek,Indonesia
5152,Bekasi,Indonesia
21741,Anyer,Indonesia
21719,Berastagi,Indonesia
19622,Bukittinggi,Indonesia
18881,Padang,Indonesia
19944,Butuan,Philippines
19768,Galle,Sri Lanka
115666,Vinh,Vietnam
21501,Cua Lo Beach,Vietnam
18866,Đồng Hới (Quảng Bình),Vietnam
19806,Aceh,Indonesia
262,Hikkaduwa,Sri Lanka
21265,Pakse,Laos
21268,Vang Vieng,Laos
21676,Koh Kood,Thailand
18875,Angeles / Clark,Philippines
21529,Narathiwat,Thailand
19433,Chanthaburi,Thailand
106065,Banyuwangi,Indonesia
512948,Puncak,Indonesia
18871,Dumaguete,Philippines
19341,Kamphaeng Phet,Thailand
105948,Irian Jaya / Papua,Indonesia
17798,Trat,Thailand
702173,Bolinao,Philippines
105662,Ko Lipe,Thailand
17764,Nonthaburi,Thailand
105977,Palu,Indonesia
17791,Nakhon Phanom,Thailand
168845,Cabanatuan,Philippines
17243,Cat Ba Island,Vietnam
23740,Legazpi,Philippines
78906,Pleiku (Gia Lai),Vietnam
78908,Tuy Hòa (Phú Yên),Vietnam
709097,Bacacay,Philippines
102498,Tarakan,Indonesia
102497,Banjarmasin,Indonesia
18872,Laguna,Philippines
710954,Tatai,Cambodia
19624,Pontianak,Indonesia
19603,Buon Ma Thuot,Vietnam
719582,Goron Talo,Indonesia
88775,Can Gio,Vietnam
17796,Saraburi,Thailand
161657,Cikarang,Indonesia
102496,Ketapang,Indonesia
102326,Siquijor Island,Philippines
17765,Surin,Thailand
102464,Ratchaburi,Thailand
18912,Kampong Thom,Cambodia
115635,Hai Duong,Vietnam
174674,Kelaniya,Sri Lanka
2085,Iloilo,Philippines
18868,Bataan,Philippines
19621,Banten,Indonesia
105625,Amphawa (Samut Songkhram),Thailand
105652,Côn Đảo Islands,Vietnam
669526,Labuan Bajo,Indonesia
204500,Chiang Khong (Chiang Rai),Thailand
513355,Mae Sai (Chiang Rai),Thailand
105614,Kediri,Indonesia
105938,Buriram,Thailand
105945,Sisaket,Thailand
21253,Lamphun,Thailand
19925,Jambi,Indonesia
105965,Chiangkhan,Thailand
101019,Ambon,Indonesia
106088,Koh Jum / Koh Pu (Krabi),Thailand
18869,Cagayan De Oro,Philippines
17383,Chumphon,Thailand
